designation,period_hr,lcdb,p,red,amp,sens,verdict,period_new
(453) Tea,13.619185284210388,6.812,0.9924570625781078,0.4819697222127653,0.13802,0.0128423644328265,halves = noise (LCDB likely right),6.809592642105194
(3518) Florena,6.457336205554059,3.2269,0.973459457533128,0.5641774627382319,0.0378100000000001,0.0582713146243492,halves = noise (LCDB likely right),3.2286681027770294
(64) Angelina,17.50494011192679,8.752,0.9728496391788948,0.5658994948509956,0.1029199999999999,0.0375074885132455,halves = noise (LCDB likely right),8.752470055963395
(4350) Shibecha,5.778517832836224,2.89,0.9494556986998396,0.6174005711700452,0.08305,0.0361862037165905,halves = noise (LCDB likely right),2.889258916418112
(683) Lanzia,17.256080835713774,8.63,0.8730749048524519,0.7152145758196895,0.0585599999999999,0.0251394915098106,halves = noise (LCDB likely right),8.628040417856887
(7247) Robertstirling,6.349458472126178,3.175,0.8446818861917557,0.7417677210981115,0.1067099999999998,0.0862624016060285,halves = noise (LCDB likely right),3.174729236063089
(6115) Martinduncan,11.791964772811436,5.894,0.8073129255831017,0.7730446104279749,0.1378600000000001,0.0545244868135503,halves = noise (LCDB likely right),5.895982386405718
(6071) Sakitama,8.845114337333936,4.437,0.8022543814450758,0.7770391142471094,0.1187999999999999,0.0522739929291379,halves = noise (LCDB likely right),4.422557168666968
(18672) Ashleyamini,20.37269502162196,10.11,0.7382630397506712,0.8241806027267702,0.31122,0.0508363207413834,halves = noise (LCDB likely right),10.18634751081098
(4908) Ward,21.896080635275545,10.96,0.7357586614226517,0.8259253557078999,0.6055699999999999,0.0332377197419569,halves = noise (LCDB likely right),10.948040317637773
(7023) Heiankyo,21.635829122178745,10.807,0.7060049057763749,0.8462400499177349,0.2380499999999999,0.0332541376069982,halves = noise (LCDB likely right),10.817914561089372
(285) Regina,19.05484823279965,9.542,0.6978330690097136,0.8517029022794288,0.0977299999999999,0.0588448730202121,halves = noise (LCDB likely right),9.527424116399825
(20460) Robwhiteley,5.443814703330386,2.7209,0.6920659757696158,0.855532341243866,0.0803100000000001,0.0949058131778654,halves = noise (LCDB likely right),2.721907351665193
(2040) Chalonge,20.768900015261764,10.367,0.6913070228018797,0.8560347884362222,0.11812,0.0293210712121254,halves = noise (LCDB likely right),10.384450007630882
(45) Eugenia,11.396402631091506,5.699,0.6732794204903442,0.8678753278931517,0.1045799999999999,0.0177958731010395,halves = noise (LCDB likely right),5.698201315545753
(1465) Autonoma,9.763375479018809,4.882,0.6483973178207356,0.8839674405136067,0.1425899999999998,0.0612394793571551,halves = noise (LCDB likely right),4.881687739509404
(10496) 1986 RK,19.776286086370273,9.876,0.6333362758327439,0.8935987689067679,0.14083,0.0629128959089158,halves = noise (LCDB likely right),9.888143043185137
(1344) Caubeta,6.245259210436713,3.12219,0.5959913878328507,0.9172483278846748,0.0865,0.0472765033460916,halves = noise (LCDB likely right),3.1226296052183566
(12667) 1979 DF,15.573501260358588,7.77,0.5569282879221054,0.9418317042370136,0.2146599999999999,0.0531954352598652,halves = noise (LCDB likely right),7.786750630179294
(6306) Nishimura,19.33911709335294,9.69,0.5532632101934216,0.944138743214894,0.19123,0.0845545511236943,halves = noise (LCDB likely right),9.66955854667647
(2603) Taylor,7.816760993756997,3.905,0.550333811964933,0.9459833454385406,0.09091,0.0848172080099096,halves = noise (LCDB likely right),3.9083804968784985
(10136) Gauguin,18.186697434883552,9.09,0.5423976989052519,0.9509843205630256,0.12272,0.0801646359822238,halves = noise (LCDB likely right),9.093348717441776
(42939) 1999 TJ31,9.901171295935686,4.97,0.5397079455256406,0.9526807638936364,0.22957,0.0846740411571462,halves = noise (LCDB likely right),4.950585647967843
(32772) 1986 JL,12.085070823092083,6.047,0.4962772743184449,0.980247713503506,0.0821799999999999,0.0377712223106078,halves = noise (LCDB likely right),6.042535411546042
(293) Brasilia,16.40433546385119,8.173,0.4863910422018058,0.9859740767563648,0.0671100000000001,0.0961927929979376,halves = noise (LCDB likely right),8.202167731925595
(5516) Jawilliamson,10.323532790273427,5.153,0.4509444038319443,1.0096212060882208,0.2247599999999999,0.0985563882583224,halves = noise (LCDB likely right),5.161766395136714
(8022) Scottcrossfield,8.00580373294979,4.00267,0.4315544158608892,1.0224685348896865,0.0956099999999999,0.0643084305613007,halves = noise (LCDB likely right),4.002901866474895
(3944) Halliday,11.131292872837877,5.565,0.4270967264929779,1.0254518011268272,0.08689,0.0618703050966955,halves = noise (LCDB likely right),5.565646436418938
(1734) Zhongolovich,14.34021792428956,7.171,0.3825837730443466,1.055980665658394,0.14126,0.0376416181748033,halves = noise (LCDB likely right),7.17010896214478
(1463) Nordenmarkia,11.836667635527846,5.918,0.3778253834904445,1.0593356722697946,0.1056,0.0491513226122027,halves = noise (LCDB likely right),5.918333817763923
(17584) 1994 XF1,9.275568037349254,4.6392,0.3127700748493034,1.1075711883109614,0.19045,0.0662795089857699,halves = noise (LCDB likely right),4.637784018674627
(3122) Florence,4.715813893788514,2.3581,0.2884092488407666,1.1270682422856668,0.1274699999999998,0.0856319920408115,halves = noise (LCDB likely right),2.357906946894257
(4022) Nonna,5.174210950505207,2.5877,0.2818449443971467,1.1324904179334605,0.0953699999999999,0.0751301124991426,halves = noise (LCDB likely right),2.5871054752526037
(279) Thule,47.665735345590136,23.896,0.2518113185347901,1.158368470939987,0.0483499999999998,0.0618424387181556,halves = noise (LCDB likely right),23.832867672795068
(2693) Yan'an,7.684664741669957,3.842,0.2418210157901242,1.1674181772907923,0.1080199999999999,0.0405028521276252,halves = noise (LCDB likely right),3.8423323708349786
(4608) Wodehouse,27.93495632324035,13.944,0.2407985657581419,1.1683582789936624,0.08151,0.0434485325715559,halves = noise (LCDB likely right),13.967478161620175
(4446) Carolyn,82.33008408520566,40.92,0.231199361886094,1.1773181089408065,0.2664000000000001,0.0947426646374383,halves = noise (LCDB likely right),41.16504204260283
(53) Kalypso,18.069072635644268,9.036,0.2008737131572892,1.207426048393138,0.0485399999999999,0.0761358495902451,halves = noise (LCDB likely right),9.034536317822134
