designation,key,odd_over_even
(102613) 1999 VQ20,102613_1999_VQ20,0.0942759740499426
(106567) 2000 WK88,106567_2000_WK88,0.228322345941403
(109280) 2001 QO118,109280_2001_QO118,0.0673421854711804
(109306) 2001 QO131,109306_2001_QO131,0.1107729421783133
(10938) Lorenzalevy,10938_Lorenzalevy,0.1743759449847978
(11211) Saxena,11211_Saxena,0.0844213338968083
(1209) Pumma,1209_Pumma,0.156647673597104
(12167) Olivermuller,12167_Olivermuller,0.1238231264115885
(12884) 1998 QL34,12884_1998_QL34,0.0367873796926041
(14490) 1994 US2,14490_1994_US2,0.0536421226224488
(14725) 2000 DC3,14725_2000_DC3,0.6520518865926317
(15994) 1998 YO8,15994_1998_YO8,0.2018952987279679
(175943) 2000 GE1,175943_2000_GE1,0.1465164347549071
(17610) Riggsbee,17610_Riggsbee,0.0379112941315973
(193413) 2000 WH61,193413_2000_WH61,0.4454191172191961
(1946) Walraven,1946_Walraven,0.0809730451378256
(19840) 2000 SB280,19840_2000_SB280,0.0605478748228807
(19842) 2000 SU298,19842_2000_SU298,0.0591561702317234
(2079) Jacchia,2079_Jacchia,0.1274835958850483
(21411) Abifraeman,21411_Abifraeman,0.0551148158386072
(21923) 1999 VT52,21923_1999_VT52,0.3301137046603923
(2219) Mannucci,2219_Mannucci,0.2916589354210564
(22828) Jaynethomp,22828_Jaynethomp,0.1002226669531473
(252) Clementina,252_Clementina,0.203571447197868
(26729) 2001 HE12,26729_2001_HE12,0.0503621298907612
(26830) 1990 BB,26830_1990_BB,0.536572979224901
(27771) 1991 VY2,27771_1991_VY2,0.3612537687958964
(28920) 2000 QC91,28920_2000_QC91,0.070213046972869
(30281) Horstman,30281_Horstman,0.2465337567172368
(3286) Anatoliya,3286_Anatoliya,0.0365612154178618
(3656) Hemingway,3656_Hemingway,0.0496579016363342
(3714) Kenrussell,3714_Kenrussell,0.0932831406060761
(3749) Balam,3749_Balam,0.1785275696110188
(3937) Bretagnon,3937_Bretagnon,1.2547642549671931
(41877) 2000 WE103,41877_2000_WE103,0.5306430240602057
(4303) Savitskij,4303_Savitskij,0.0851019512939076
(4541) Mizuno,4541_Mizuno,0.2140069838187792
(4760) Jia-xiang,4760_Jia_xiang,0.0621368654591075
(4813) Terebizh,4813_Terebizh,0.0782106006627413
(489) Comacina,489_Comacina,0.1220890746476753
(5079) Brubeck,5079_Brubeck,0.8239191396476166
(51112) 2000 HQ27,51112_2000_HQ27,0.0865398967384252
(51495) 2001 FO79,51495_2001_FO79,0.1091958739339083
(52035) 2002 PS43,52035_2002_PS43,0.1407854815003513
(5256) Farquhar,5256_Farquhar,0.0413543869217766
(5262) Brucegoldberg,5262_Brucegoldberg,0.1652907618525458
(5477) Holmes,5477_Holmes,0.1175309651168447
(5509) Rennsteig,5509_Rennsteig,0.1258797450308194
(55866) Javiersierra,55866_Javiersierra,0.092196243835186
(5780) Lafontaine,5780_Lafontaine,0.1521882640853699
(579) Sidonia,579_Sidonia,0.0445624712801587
(581) Tauntonia,581_Tauntonia,0.1385030141881233
(59096) 1998 WT3,59096_1998_WT3,0.0422116170019466
(61307) 2000 OJ49,61307_2000_OJ49,0.145724335322259
(6423) Harunasan,6423_Harunasan,0.0976476129497514
(645) Agrippina,645_Agrippina,0.0750524013661626
(6821) Ranevskaya,6821_Ranevskaya,0.1408867835398315
(69272) 1989 SC2,69272_1989_SC2,0.1312815590047998
(694) Ekard,694_Ekard,0.0871845182787557
(6968) 1991 VX3,6968_1991_VX3,0.1850280797877687
(7393) Luginbuhl,7393_Luginbuhl,0.0628475291924387
(8508) 1991 CU1,8508_1991_CU1,0.3457477494769173
(8644) Betulapendula,8644_Betulapendula,0.0692556313254371
(8850) Bignonia,8850_Bignonia,0.0761746854412286
(88521) 2001 QN168,88521_2001_QN168,0.0315304731079304
(91004) 1998 BH16,91004_1998_BH16,0.0522497363213562
(9222) Chubey,9222_Chubey,0.0498480473687867
(9572) 1988 RS6,9572_1988_RS6,0.0723400902560143
(9670) Magni,9670_Magni,0.0537792786177602
(982) Franklina,982_Franklina,0.4715011070146951
