designation,key,odd_over_even
(581) Tauntonia,581_Tauntonia,0.13850301418812336
(5079) Brubeck,5079_Brubeck,0.8239191396476166
(2079) Jacchia,2079_Jacchia,0.12748359588504835
(6139) Naomi,6139_Naomi,1.713584712150265
(683) Lanzia,683_Lanzia,1.5184535290734724
(415) Palatia,415_Palatia,3.404964838751925
(982) Franklina,982_Franklina,0.47150110701469516
(21923) 1999 VT52,21923_1999_VT52,0.33011370466039236
(26830) 1990 BB,26830_1990_BB,0.536572979224901
(4628) Laplace,4628_Laplace,3.215083757884627
(5477) Holmes,5477_Holmes,0.11753096511684478
(1344) Caubeta,1344_Caubeta,1.1724573710932433
(2219) Mannucci,2219_Mannucci,0.2916589354210564
(3937) Bretagnon,3937_Bretagnon,1.2547642549671933
(4541) Mizuno,4541_Mizuno,0.21400698381877922
(41877) 2000 WE103,41877_2000_WE103,0.5306430240602057
(14725) 2000 DC3,14725_2000_DC3,0.6520518865926317
(424) Gratia,424_Gratia,0.8100008797532016
(7023) Heiankyo,7023_Heiankyo,1.2561658362364072
(866) Fatme,866_Fatme,3.769994361889865
(252) Clementina,252_Clementina,0.20357144719786804
(6115) Martinduncan,6115_Martinduncan,1.4122620929653367
(3749) Balam,3749_Balam,0.17852756961101882
(1465) Autonoma,1465_Autonoma,1.2759824986086399
(20460) Robwhiteley,20460_Robwhiteley,1.1908384998209744
(45) Eugenia,45_Eugenia,1.6811094433312832
(91256) 1999 CX80,91256_1999_CX80,9.319206624017383
(49672) 1999 RM103,49672_1999_RM103,1.0613832261938636
(4022) Nonna,4022_Nonna,1.5418179743563183
(8508) 1991 CU1,8508_1991_CU1,0.34574774947691733
(5255) Johnsophie,5255_Johnsophie,0.4058313793006111
(1093) Freda,1093_Freda,1.621068411801388
(17610) Riggsbee,17610_Riggsbee,0.03791129413159733
(379) Huenna,379_Huenna,1.8143224346373248
(778) Theobalda,778_Theobalda,0.07430789854628285
(4999) MPC,4999_MPC,2.859848104590753
(11211) Saxena,11211_Saxena,0.08442133389680835
(10136) Gauguin,10136_Gauguin,1.8017182050315599
(453) Tea,453_Tea,1.0187744609682636
(12667) 1979 DF,12667_1979_DF,2.0351612749905454
(69272) 1989 SC2,69272_1989_SC2,0.1312815590047998
(10496) 1986 RK,10496_1986_RK,1.369455369570542
(4303) Savitskij,4303_Savitskij,0.08510195129390764
(17964) 1999 JY41,17964_1999_JY41,1.0230641142962125
(11) Parthenope,11_Parthenope,4.186810677642199
(322) Phaeo,322_Phaeo,1.5630763990728496
(7393) Luginbuhl,7393_Luginbuhl,0.06284752919243872
(1734) Zhongolovich,1734_Zhongolovich,1.3118544370810097
(2693) Yan'an,2693_Yan_an,1.2912875276250049
(17584) 1994 XF1,17584_1994_XF1,1.7709764037921052
(26729) 2001 HE12,26729_2001_HE12,0.050362129890761206
(102613) 1999 VQ20,102613_1999_VQ20,0.09427597404994266
(8123) Canaletto,8123_Canaletto,4.5559538901081345
(9572) 1988 RS6,9572_1988_RS6,0.07234009025601439
(21992) 1999 XZ23,21992_1999_XZ23,0.24887192886210444
(1611) Beyer,1611_Beyer,1.1967755652559813
(1928) Summa,1928_Summa,1.842557668177513
(12167) Olivermuller,12167_Olivermuller,0.12382312641158855
(3944) Halliday,3944_Halliday,1.1951990361311304
(6821) Ranevskaya,6821_Ranevskaya,0.14088678353983158
(2040) Chalonge,2040_Chalonge,2.5458847225069374
(29854) 1999 FK27,29854_1999_FK27,1.593573728089516
(10944) 1999 FJ26,10944_1999_FJ26,1.9855994059519793
(3716) Petzval,3716_Petzval,0.20857564334795325
(489) Comacina,489_Comacina,0.1220890746476753
(11395) Iphinous,11395_Iphinous,1.8576246723863927
(18672) Ashleyamini,18672_Ashleyamini,1.310325447882455
(9222) Chubey,9222_Chubey,0.04984804736878671
(694) Ekard,694_Ekard,0.08718451827875576
(3911) Otomo,3911_Otomo,0.9000628667764826
(32772) 1986 JL,32772_1986_JL,1.290802203962173
(3142) Kilopi,3142_Kilopi,2.423456407128048
(1736) Floirac,1736_Floirac,1.1457909150191885
(88521) 2001 QN168,88521_2001_QN168,0.0315304731079304
(3122) Florence,3122_Florence,1.1293440027655208
(5780) Lafontaine,5780_Lafontaine,0.15218826408536995
(5256) Farquhar,5256_Farquhar,0.04135438692177662
(285) Regina,285_Regina,2.5419929993372286
(193413) 2000 WH61,193413_2000_WH61,0.44541911721919614
(28920) 2000 QC91,28920_2000_QC91,0.07021304697286905
(1092) Lilium,1092_Lilium,2.7875383525620667
(3709) Polypoites,3709_Polypoites,2.183934219630886
(14490) 1994 US2,14490_1994_US2,0.05364212262244881
(15994) 1998 YO8,15994_1998_YO8,0.2018952987279679
(279) Thule,279_Thule,1.657572001871979
(6423) Harunasan,6423_Harunasan,0.09764761294975141
(19753) 2000 CL94,19753_2000_CL94,4.24716665804544
(22828) Jaynethomp,22828_Jaynethomp,0.1002226669531473
(6968) 1991 VX3,6968_1991_VX3,0.1850280797877687
(8022) Scottcrossfield,8022_Scottcrossfield,1.7040325608930713
(10938) Lorenzalevy,10938_Lorenzalevy,0.17437594498479783
(4805) Asteropaios,4805_Asteropaios,1.3090822119257632
(4350) Shibecha,4350_Shibecha,1.0302548342298017
(2896) Preiss,2896_Preiss,2.627601386079117
(1583) Antilochus,1583_Antilochus,2.4863642482814754
(64) Angelina,64_Angelina,1.5809714971793254
(3518) Florena,3518_Florena,2.352579537113342
(52035) 2002 PS43,52035_2002_PS43,0.14078548150035133
(20732) Snedeker,20732_Snedeker,6.601951308364116
(42939) 1999 TJ31,42939_1999_TJ31,0.7734696757335096
(4760) Jia-xiang,4760_Jia_xiang,0.06213686545910753
(3286) Anatoliya,3286_Anatoliya,0.03656121541786183
(59096) 1998 WT3,59096_1998_WT3,0.0422116170019466
(19840) 2000 SB280,19840_2000_SB280,0.06054787482288075
(1209) Pumma,1209_Pumma,0.15664767359710405
(6071) Sakitama,6071_Sakitama,1.2687669598716624
(19911) Rigaux,19911_Rigaux,1.8262270811808738
(5509) Rennsteig,5509_Rennsteig,0.12587974503081945
(886) Washingtonia,886_Washingtonia,4.465041432992162
(53) Kalypso,53_Kalypso,3.4471345728983205
(5401) Minamioda,5401_Minamioda,9.520045144561974
(1946) Walraven,1946_Walraven,0.08097304513782569
(6843) Heremon,6843_Heremon,4.743811242596585
(109280) 2001 QO118,109280_2001_QO118,0.06734218547118048
(8644) Betulapendula,8644_Betulapendula,0.06925563132543719
(106567) 2000 WK88,106567_2000_WK88,0.22832234594140302
(175943) 2000 GE1,175943_2000_GE1,0.1465164347549071
(55866) Javiersierra,55866_Javiersierra,0.09219624383518604
(4908) Ward,4908_Ward,7.246336344150599
(20502) Madeira,20502_Madeira,2.574214709860527
(1463) Nordenmarkia,1463_Nordenmarkia,1.6846866284466986
(19842) 2000 SU298,19842_2000_SU298,0.05915617023172341
(1913) Sekanina,1913_Sekanina,1.1118046450503225
(7247) Robertstirling,7247_Robertstirling,1.4374259372275386
(566) Stereoskopia,566_Stereoskopia,1.600948625408285
(1478) Vihuri,1478_Vihuri,1.5810509048866406
(3784) Chopin,3784_Chopin,1.5441585622655698
(30281) Horstman,30281_Horstman,0.24653375671723682
(12884) 1998 QL34,12884_1998_QL34,0.036787379692604136
(21411) Abifraeman,21411_Abifraeman,0.05511481583860725
(3656) Hemingway,3656_Hemingway,0.049657901636334226
(8850) Bignonia,8850_Bignonia,0.07617468544122867
(2603) Taylor,2603_Taylor,1.1743553388960872
(51112) 2000 HQ27,51112_2000_HQ27,0.08653989673842524
(63475) 2001 OB32,63475_2001_OB32,2.0871009075464304
(4813) Terebizh,4813_Terebizh,0.07821060066274131
(3313) Mendel,3313_Mendel,1.4850895192344111
(109306) 2001 QO131,109306_2001_QO131,0.1107729421783133
(6306) Nishimura,6306_Nishimura,1.1137738169156393
(5516) Jawilliamson,5516_Jawilliamson,1.2074302837151147
(28) Bellona,28_Bellona,4.372220729980462
(21599) 1998 WA15,21599_1998_WA15,4.188371205653265
(983) Gunila,983_Gunila,2.8634275543743346
(4608) Wodehouse,4608_Wodehouse,1.0306054844211627
(51495) 2001 FO79,51495_2001_FO79,0.10919587393390838
(9670) Magni,9670_Magni,0.05377927861776025
(3714) Kenrussell,3714_Kenrussell,0.09328314060607618
(13585) Justinsmith,13585_Justinsmith,2.1023408718000125
(27771) 1991 VY2,27771_1991_VY2,0.3612537687958964
(4446) Carolyn,4446_Carolyn,1.8548783261177881
(3793) Leonteus,3793_Leonteus,2.4537897450332915
(293) Brasilia,293_Brasilia,1.361938564596144
(137) Meliboea,137_Meliboea,3.9452591493349893
(3238) Timresovia,3238_Timresovia,2.335590381429665
(17157) 1999 KP6,17157_1999_KP6,2.741834590332207
(67758) 2000 UF55,67758_2000_UF55,2.0600974147529825
(2950) Rousseau,2950_Rousseau,5.404925607278487
(61307) 2000 OJ49,61307_2000_OJ49,0.145724335322259
(91004) 1998 BH16,91004_1998_BH16,0.052249736321356294
(1180) Rita,1180_Rita,1.8664700298765107
(21446) Tedflint,21446_Tedflint,1.9254249568256094
(1336) Zeelandia,1336_Zeelandia,1.6968515654874061
(14218) 1999 VS30,14218_1999_VS30,2.3062703839263294
