designation,n_points,n_points_before_rejection,n_outliers_rejected,n_visits,n_sectors,magnitude_H,period_hr,period_hr_naive,ls_power,naive_power,power_ratio,pk_over_med,pk_prom,pk_snr,max_phase_gap,fap,baseline_hr,n_cycles_observed,aov_F,amp_snr,loo_worst_chi2,n_phase_coverings,reliability_score,is_reliable,double_peaked,diameter_km_real,albedo_real,spec_type,published_rot_per_hr,min_snr,median_n_stack,frac_points_stacked,phase_angle_range_deg,wrote_clean_lc,period_quality,cell,has,believed
(396376) 2014 DZ111,44,44,0,2,1,15.76,2.0784748006766525,1.0392374003383262,0.1888294295108936,0.311074580690023,1.0,9.63425465256398,1.6449599759761393,8.591308539295433,0.1027971916621793,0.1948506134742574,469.00455736293225,225.64842124150204,1.3718820993514926,1.9731933054178497,,0.0,0.0235269462063929,False,True,,,,,5.0,15.0,1.0,3.135500653159147,False,0.05,n30_a0.0,False,False
(745416) 2011 BR59,34,34,0,4,1,16.89,1.9197445573299112,0.9598722786649556,0.1100138996270067,0.282376939716823,1.0,6.47792764299682,1.2990700303438822,5.243199803770371,0.1173937844192234,0.7383549779737519,352.9167074644938,183.83524314055103,1.0851918241657532,3.1958919144844566,6.243851800803883,0.0,0.0152797521819072,False,True,,,,,5.0,22.0,1.0,1.3959953304841175,False,0.05,n30_a0.0,False,False
(122757) 2000 SP64,56,57,1,8,3,16.14,3.5105615163932957,1.755280758196648,0.295029393029212,0.2462664648824213,1.0,4.532495386445986,1.4063028161999471,5.232413652096044,0.068387244943481,0.1842644645842551,1810.9179472871472,515.8485156379371,1.2679099859540286,3.1403074101386776,10.846795247511304,0.0,0.014048800409313,False,True,,,,,5.0,48.0,1.0,13.84389033545541,False,0.05,n30_a0.0,False,False
(474233) 2001 QV122,54,56,2,4,1,17.82,4.156058843474172,2.078029421737086,0.2460895578790672,0.5254570905031678,1.0,3.5212723784196283,1.0883267808521533,2.98030603433131,0.0553026558425951,5.285041030090144e-07,556.6304965917952,133.93229440574797,1.2905999843682467,13.64220940449758,6.098370859221276,0.0,0.0557672701498621,False,True,,,,,5.0,1.0,0.0892857142857142,5.9530460860176815,False,0.0909090909090909,n30_a0.0,True,False
(392314) 2010 EU2,90,90,0,10,3,16.05,2.4232572218152755,1.2116286109076375,0.0083112703908252,0.2787091332434291,1.0,7.206086262412181,1.4258048916610593,6.3531393350565795,0.0823747763501926,0.0005565802661812,1822.8886755171695,752.2472889409709,1.2456663482673007,4.227537863709105,11.282502361319525,0.0,0.0155028084255907,False,True,,,,,5.0,29.0,1.0,13.288683368501095,False,0.05,n30_a0.0,True,False
(398020) 2009 DV19,91,95,4,7,2,16.36,2.9478966890214093,1.4739483445107049,0.1165849695220841,0.078359881775979,1.0,6.784858837764889,1.3364810311054658,6.0973606339488775,0.0531504163800488,0.9990561188180486,1119.5873708665604,379.79192928847897,1.0461640453211891,2.1731934550056806,2.8176728019417157,1.0,0.1086412783168528,False,True,,,,,5.0,9.0,1.0,14.973265740531344,False,0.1162790697674418,n30_a0.0,False,False
(502376) 2015 BS242,72,75,3,5,2,17.96,3.1276266007159412,1.5638133003579706,0.6733263892239494,5498.810168960262,1.0,11408.618115709598,929.3245762784832,8267.627822955918,0.0410914753611841,,1741.077816899924,556.6770075754491,1.4833099543178758,11.626929154115311,900447.3915143649,0.0,0.9815086134093802,True,True,,,,,5.0,13.0,1.0,24.006835425753053,True,0.9381761978361668,n30_a0.0,True,False
(113561) 2002 TY33,69,69,0,3,2,15.98,58.4548203098748,29.2274101549374,0.3152441419062676,0.2839083379508702,1.0,15.673812405855845,1.427145845646243,13.983896990526452,0.0521602275502433,0.0085951703327941,398.7730011556414,6.821901068923079,1.3555344597882646,4.150209847411464,9.613280845894945,0.0,0.0059156261121425,False,True,,,,,5.0,20.0,1.0,8.028197170284368,False,0.04,n30_a0.0,True,False
(32951) 1996 FA2,36,42,6,5,3,16.1,2.644671541925267,1.3223357709626335,0.2370449549771132,0.0748950390880547,1.0,6.9794003726132,1.3190640404352725,4.633682394491761,0.2644533096223651,0.9999999999999932,995.3003138547648,376.34174908926735,0.766795712319037,4.060017923945435,1.1268191891170785,0.0,0.1074852334574975,False,True,1.717,0.238,,,5.0,15.0,1.0,6.535468434842702,False,0.1162790697674418,n30_a0.0,False,False
(111363) 2001 XC126,95,97,2,9,3,15.84,8.147824918242797,4.073912459121399,0.0184383666567396,0.1188828518145831,1.0,10.99390675983873,1.8087174536496635,9.790769620772824,0.0605038379735393,0.8366712604285038,1852.4022820079117,227.3492988123032,1.1652239601234504,1.2351618259905055,2.321044347334398,0.0,0.2354728311147493,False,True,,,,,5.0,11.0,1.0,13.0920384155308,False,0.25,n30_a0.0,False,False
