Number,Name,Period,U,U_clean,Albedo,period_updated,period_source,tess_period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted
1,Ceres,9.07417,3,3.0,0.0775,9.07417,LCDB_native,,,,,,,,,,,,,,,,,False
2,Pallas,7.8132,3,3.0,0.15,7.8132,LCDB_native,,,,,,,,,,,,,,,,,False
3,Juno,7.21,3,3.0,0.2052,7.21,LCDB_native,,,,,,,,,,,,,,,,,False
4,Vesta,5.342,3,3.0,0.3363,5.342,LCDB_native,,,,,,,,,,,,,,,,,False
5,Astraea,16.806,3,3.0,0.243,16.806,LCDB_native,,,,,,,,,,,,,,,,,False
6,Hebe,7.2745,3,3.0,0.2903,7.2745,LCDB_native,,,,,,,,,,,,,,,,,False
7,Iris,7.139,3,3.0,0.2567,7.139,LCDB_native,,,,,,,,,,,,,,,,,False
8,Flora,12.865,3,3.0,0.2179,12.865,LCDB_native,,,,,,,,,,,,,,,,,False
9,Metis,5.079,3,3.0,0.1298,5.079,LCDB_native,,,,,,,,,,,,,,,,,False
10,Hygiea,13.828,3,3.0,0.0965,13.828,LCDB_native,,,,,,,,,,,,,,,,,False
11,Parthenope,13.7204,3,3.0,0.1623,13.740889561668135,TESS_precision_LCDB_harmonic,27.48177912333627,0.5,0.0014933647465187,(11) Parthenope,716.6657726724052,3688.0,0.6679246813047045,True,14.0,,,,,,,,False
12,Victoria,8.6599,3,3.0,0.1633,8.6599,LCDB_native,,,,,,,,,,,,,,,,,False
13,Egeria,7.045,3,3.0,0.0782,7.045,LCDB_native,,,,,,,,,,,,,,,,,False
14,Irene,15.028,3,3.0,0.23,15.028,LCDB_native,,,,,,,,,,,,,,,,,False
15,Eunomia,6.083,3,3.0,0.1966,6.083,LCDB_native,,,,,,,,,,,,,,,,,False
16,Psyche,4.196,3,3.0,0.1523,4.196,LCDB_native,,,,,,,,,,,,,,,,,False
17,Thetis,12.27048,3,3.0,0.1403,12.27033163404827,TESS_precision_LCDB_harmonic,12.27033163404827,1.0,1.2091291598070876e-05,(17) Thetis,1827.326718955536,7157.0,0.8983703071632979,True,72.0,,,,,,,,False
18,Melpomene,11.57,3,3.0,0.2311,11.557527299133357,TESS_precision_LCDB_harmonic,11.557527299133357,1.0,0.001078020818206,(18) Melpomene,290.19436214974456,642.0,0.9961721476424428,True,7.0,,,,,,,,False
19,Fortuna,7.4432,3,3.0,0.0489,7.444918067328352,TESS_precision_LCDB_harmonic,7.444918067328352,1.0,0.0002308237489725,(19) Fortuna,1946.812492403049,2341.0,0.9933791595072476,True,30.0,,,,,,,,False
20,Massalia,8.098,3,3.0,0.2011,8.10004559862702,TESS_precision_LCDB_harmonic,8.10004559862702,1.0,0.0002526054120794,(20) Massalia,3405.0563253765827,7123.0,0.9416373843792508,True,109.0,,,,,,,,False
21,Lutetia,8.1655,3,3.0,0.2,8.1655,LCDB_native,,,,,,,,,,,,,,,,,False
22,Kalliope,4.1483,3,3.0,0.2272,4.148024616428659,TESS_precision_LCDB_harmonic,4.148024616428659,1.0,6.638468079478432e-05,(22) Kalliope,6090.038848709865,7647.0,0.976009827093096,True,257.0,,,,,,,,False
23,Thalia,12.312,3,3.0,0.2129,12.312,LCDB_native,,,,,,,,,,,,,,,,,False
24,Themis,8.374,3,3.0,0.0631,8.374,LCDB_native,,,,,,,,,,,,,,,,,False
25,Phocaea,9.9341,3,3.0,0.231,9.929760667003212,TESS_precision_LCDB_harmonic,9.929760667003212,1.0,0.0004368118900341,(25) Phocaea,652.3665894128403,3108.0,0.8698171567447399,True,46.0,,,,,,,,False
26,Proserpina,13.11,3,3.0,0.1965,13.11,LCDB_native,,,,,,,,,,,,,,,,,False
27,Euterpe,10.4082,3,3.0,0.26,10.4082,LCDB_native,,,,,,,,,,,,,,,,,False
28,Bellona,15.706,3,3.0,0.2738,15.700029879229623,TESS_precision_LCDB_harmonic,31.40005975845925,0.5,0.0003801172017302,(28) Bellona,312.5680915869291,1193.0,0.7397710449911592,True,4.0,,,,,,,,False
29,Amphitrite,5.3921,3,3.0,0.1574,5.3921,LCDB_native,,,,,,,,,,,,,,,,,False
30,Urania,13.686,3,3.0,0.1753,13.686,LCDB_native,,,,,,,,,,,,,,,,,False
31,Euphrosyne,5.53,3,3.0,0.0471,5.53,LCDB_native,,,,,,,,,,,,,,,,,False
32,Pomona,9.448,3,3.0,0.2363,9.449282828662444,TESS_precision_LCDB_harmonic,9.449282828662444,1.0,0.0001357778008512,(32) Pomona,3063.2176537372025,7881.0,0.9694701430034806,True,107.0,,,,,,,,False
33,Polyhymnia,18.608,3,3.0,0.24,18.608,LCDB_native,,,,,,,,,,,,,,,,,False
34,Circe,12.15,3,3.0,0.0756,12.180384634954727,TESS_precision_LCDB_harmonic,12.180384634954727,1.0,0.002500793000389,(34) Circe,1639.84503268125,4320.0,0.9487202409830172,True,39.0,,,,,,,,False
