designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(38751) 2000 QN207,dev,0,1.0,1.280314507095133,0.7657899017819498,0.017716883406236,152.43234219725696,418.0,1.6439777571039145,1.0,0.9877055299444149,11,3,1873.1376349056372,7,1.0,22.823400925411228,5.0,10.66001788061651,1.5677792585410115,9.39844190563617
(10610) 1996 XR1,dev,0,1.0,8.00626822861679,2.9749550410520893,0.061269098798948,2.549203347493312,140.0,,1.0,2.6844532426335997e-05,2,1,611.808803398395,2,1.0,1.028891271980262,5.0,47.70018841712945,3.75109836786454,45.1026676367152
(6041) Juterkilian,dev,1,1.0,9.521583871296528,0.7819091738527267,0.0011762234660283,274.4655615973122,3240.0,1.9845153516017968,1.0,4.484458972555031e-25,8,2,1228.4058147787582,22,0.0,23.33651424004927,1.0,79.92145605665822,5.544385519992244,74.02842828141517
(102526) 1999 UG1,dev,0,1.0,3.147720609883129,0.4869566077033295,0.0032343119272187,991.9170988596564,1896.0,1.3969194592827094,1.0,0.3167141801489977,7,3,10524.639320667831,1,0.0079072219293621,17.982445682087906,1.0,10.359461042683156,1.542354123161903,9.123759377943207
(88519) 2001 QS163,dev,0,1.0,3.845125356481656,1.965416264235594,0.046278329913061,62.41822165958386,374.0,1.536524197952276,1.0,8.827670425594236e-08,3,1,573.2295746564632,4,1.0,8.290066195167974,2.0,30.384889686310185,3.017085324541401,27.647406434232295
(75706) 2000 AJ117,dev,0,1.0,1.8000325383471747,1.6069740853078511,0.0467217424396414,54.86258568953523,100.0,,1.0,0.279825097469762,2,1,140.8292442681268,1,1.0,3.4061655240219793,5.0,10.894479204741844,1.389574734048332,9.270222417765558
(94284) 2001 DW51,dev,1,1.0,11.201572175076784,1.0888818997608682,0.003223368813464,3633.167284795275,2260.0,6.19290146413647,1.0,5.2393588647591305e-31,15,4,10252.98348357057,17,0.2129995608256477,14.203676042707109,1.0,92.68866150729332,10.79693568817248,88.59767513187778
(376500) 2012 KD41,dev,0,1.0,29.561398634564725,22.78012464588925,0.093570719692887,254.2973540439437,244.0,2.1092180764866995,1.0,4.0437941897469095e-41,3,2,8186.385089518153,0,0.0,13.591706270906975,1.0,85.49036758814206,1.6302564478807502,74.8845452474315
2019 GL19,dev,0,1.0,52.44823981273536,117.82199008123844,0.279040860360891,12.599899182261918,30.0,,1.0,5.473970993450231e-09,2,2,977.5617601954727,0,0.0,9.643111996691932,1.0,11.652590884852868,1.2070076991493577,9.417500437314509
(672108) 2014 QD564,dev,0,1.0,2.526168375231037,2.8869125374205873,0.0691908919083297,192.37660994740096,50.0,3.3818379913704093,1.0,0.018228070506818,8,2,1129.3714213549392,0,1.0,22.159807337482015,18.0,11.37507495998341,1.7835875440830735,10.344846793550117
(638999) 2016 LE38,dev,0,1.0,16.762567091349382,5652.568375462939,0.5640108184315251,0.4359891815684749,30.0,,1.0,3.31435037324603e-07,1,1,5.167125096952077,0,0.0,1.0737690717219834,1.0,8.075748245549375,1.0012027665607586,9.828307629179982
(185800) 1999 VF164,dev,0,1.0,1.5412964505119362,0.6854527352772481,0.0209207018623521,630.706453325377,425.0,2.6462543006098884,1.0,0.0488178989256781,11,3,1838.394753996923,1,1.0,17.8597194968761,5.0,14.215448751183866,2.0199866039702927,13.17022589901243
(12116) 1999 JA34,dev,1,1.0,67.46949437104938,3.5915446602828696,0.0031644438198908,36.441758911340315,846.0,,1.0,1.0846370015619168e-135,1,1,155.0040196934715,0,0.0,2.0025778694252185,1.0,436.37945487656,15.737258446963,406.8304288611769
(46115) 2001 FP33,dev,1,1.0,7.9083023411529245,0.8971003616278173,0.0032866858634952,162.81471643177034,1510.0,4.151893999291613,1.0,5.017359239718885e-19,4,1,472.8268100795103,0,0.0,5.092128722791269,1.0,59.78473163265914,7.71806540555933,55.003440904333175
(79450) 1997 WP6,dev,0,1.0,6.817233786111138,5.807532884597997,0.1109827559465297,649.9852684257173,56.0,4.101188552835271,1.0,0.007046478040969,9,3,1821.0155528321047,0,1.0,11.572759421846818,17.0,15.708655187498698,2.402452819936817,13.25400477834035
(66018) 1998 QA31,dev,1,1.0,18.05108503598834,2.0543994456552084,0.0109527099046957,158.51494888900342,758.0,1.3547851130018225,1.0,1.3794662138487728e-46,6,1,612.8109322091332,0,0.9986807387862796,0.5901654342810119,3.0,141.79743839470473,17.75546595376558,133.8712375492102
(23210) 2000 SA293,dev,1,1.0,10.79991663212414,1.9635616300446512,0.0161249726039671,117.15082836708385,628.0,1.1389473166692317,1.0,3.168182789979638e-23,8,2,1155.975830643496,5,0.9984202211690364,12.299996895004284,4.0,97.243072571155,11.855566216081078,92.6071211490027
(102630) 1999 VM30,dev,0,1.0,6.489528722776392,8.047842803843826,0.0627254642657679,2.6788974419692413,120.0,,1.0,0.0093857806542736,1,1,466.87042095093057,6,1.0,7.537561504467316,5.0,38.73980384705751,2.0224097423142307,35.09220070051724
(124948) 2001 TV85,dev,0,1.0,1.646773659848935,1.9940120786066091,0.062194408728134,247.48961421633817,66.0,2.142544522046556,1.0,0.9942694346155182,3,1,397.36212120659184,2,1.0,7.174194327292025,8.0,7.384032750105001,1.3277861485522202,6.69226548253294
(93015) 2000 RY91,dev,0,1.0,1.3531359211464078,5.339871018318329,0.1108285474763121,246.9383069591277,30.0,8.991020555752494,1.0,0.6196014317943167,6,2,9655.298253152405,2,1.0,16.271583294755665,26.0,7.855093392076722,1.693621674057241,6.669153259143787
