designation,Number,Name,U_clean,lcdb_period_hr,tess_period_hr,ratio,aov_F,n_points,n_phase_coverings,reliability_score
(645) Agrippina,645,Agrippina,2.0,32.6,53.747751931306254,1.6487040469725844,274.9275045405113,1752.0,5.0,0.8500284692702794
(982) Franklina,982,Franklina,2.0,41.4,154.07321270393885,3.721575186085479,829.2683240713953,6961.0,5.0,0.9617979869856024
(1030) Vitja,1030,Vitja,2.0,7.749,6.33693706521605,0.8177748180689186,1064.4244670026942,2839.0,59.0,0.9756286015522174
(1073) Gellivara,1073,Gellivara,2.0,11.32,16.841326358065515,1.487749678274339,78.58686712485218,2216.0,5.0,0.917692191718876
(1237) Genevieve,1237,Genevieve,2.0,16.37,24.715944242580537,1.5098316580684503,821.749811043826,2128.0,10.0,0.9853139007291398
(1295) Deflotte,1295,Deflotte,2.0,14.64,26.438352854554296,1.8058984190269327,823.6267306617201,5590.0,18.0,0.8946518979146062
(1298) Nocturna,1298,Nocturna,2.0,34.8,64.4931929155297,1.853252669986486,503.46162823951965,6276.0,7.0,0.8093848169645957
(1383) Limburgia,1383,Limburgia,,5.0,51.845670405459806,10.36913408109196,202.76808962745457,2331.0,4.0,0.8924244294180419
(1525) Savonlinna,1525,Savonlinna,2.0,14.634,22.686775643396583,1.5502785050838173,51.805115509252914,2523.0,13.0,0.8192858209761914
(1654) Bojeva,1654,Bojeva,2.0,10.5559,11.441194907989212,1.083867307192112,253.24248145402677,1688.0,16.0,0.972206445589726
(1795) Woltjer,1795,Woltjer,2.0,12.102,13.228875873791129,1.0931148466196603,778.5729870323493,3260.0,18.0,0.9856207664495598
(1910) Mikhailov,1910,Mikhailov,2.0,8.88,6.803092012432561,0.7661139653640271,290.9075237507201,5106.0,102.0,0.8519068754316641
(1969) Alain,1969,Alain,2.0,32.4,27.234203747203782,0.8405618440494995,530.9936901582943,5126.0,22.0,0.9678671992845445
(1972) Yi Xing,1972,Yi Xing,2.0,14.183,22.65238048309154,1.5971501433470734,129.4143143152087,3085.0,17.0,0.9291689522510166
(2088) Sahlia,2088,Sahlia,2.0,10.37,59.53158422884728,5.740750648876305,1039.2601256561616,3126.0,6.0,0.9873474300511832
(2108) Otto Schmidt,2108,Otto Schmidt,2.0,6.9,6.31011136835167,0.91450889396401,110.89488881309238,6454.0,107.0,0.934798046236662
(2160) Spitzer,2160,Spitzer,2.0,5.9,5.179669620659883,0.8779101051965903,465.7732700068482,3098.0,63.0,0.9819996399099276
(2173) Maresjev,2173,Maresjev,1.0,11.6,7.72954967112881,0.6663404888904146,373.5548422297136,1878.0,33.0,0.9707604310833822
(2187) La Silla,2187,La Silla,2.0,31.0,11.844724131248103,0.3820878752015517,278.58108912044884,3242.0,31.0,0.8032474792938533
(2221) Chilton,2221,Chilton,2.0,7.445,8.552002681707195,1.1486907564415303,623.7794643635871,1627.0,27.0,0.983067847376192
(2234) Schmadel,2234,Schmadel,2.0,15.63,23.605314170074564,1.5102568247008676,1256.1662422431357,3363.0,21.0,0.9818463156967216
(2276) Warck,2276,Warck,3.0,4.054,4.4350828542147305,1.0940016907288432,132.52129164985544,2036.0,58.0,0.8644640566782907
(2283) Bunke,2283,Bunke,2.0,46.77,3.913495801780563,0.0836753432067685,142.11887983280894,4717.0,161.0,0.9476931591241092
(2344) Xizang,2344,Xizang,2.0,13.0,14.165405079369377,1.089646544566875,795.0302409067939,4305.0,31.0,0.9833188138209812
(2636) Lassell,2636,Lassell,3.0,5.012,4.536463238158333,0.9051203587706173,693.7629177612034,2417.0,78.0,0.8309099971357814
(2687) Tortali,2687,Tortali,2.0,21.75,19.638214725691626,0.90290642416973,551.1868850418434,2226.0,16.0,0.9580744062830332
(2692) Chkalov,2692,Chkalov,2.0,6.11,6.588330552630401,1.0782865061588218,100.03667547194554,2764.0,32.0,0.9027660306602836
(2695) Christabel,2695,Christabel,1.0,6.009,5.6230502314330995,0.9357713814999332,659.9598951583989,1467.0,38.0,0.9905518892026032
(2802) Weisell,2802,Weisell,2.0,14.683,21.080302966575157,1.4356945424351395,788.4368989578408,2434.0,17.0,0.9390397951647848
(2808) Belgrano,2808,Belgrano,2.0,195.83,5.1594912949328355,0.0263467869832652,189.56311961483448,2101.0,35.0,0.9429011821868516
(3026) Sarastro,3026,Sarastro,1.0,15.74,11.81977515598384,0.7509387011425566,235.9157067759756,2568.0,18.0,0.9422609191514462
(3097) Tacitus,3097,Tacitus,2.0,8.7759,7.4167539454867235,0.8451274451038325,132.9017754978665,2710.0,36.0,0.8815921525154011
(3156) Ellington,3156,Ellington,2.0,8.33,9.830660816647203,1.1801513585410808,94.53414744731478,1429.0,22.0,0.9445178555373488
(3158) Anga,3158,Anga,,8.0,10.326481772112883,1.2908102215141104,1406.0397868231732,2588.0,27.0,0.9084533285073528
(3468) Urgenta,3468,Urgenta,2.0,16.2956,6.619725606706634,0.4062277919626545,117.2198828796812,6007.0,98.0,0.9111259614691544
(3509) Sanshui,3509,Sanshui,2.0,13.68,15.093314677423322,1.1033124764198334,826.9146887703341,3148.0,30.0,0.8719679889152687
(3513) Quqinyue,3513,Quqinyue,2.0,9.882,12.449679063853257,1.2598339469594473,772.224258372488,5134.0,39.0,0.9516360013801652
(3550) Link,3550,Link,2.0,12.371,9.83357790986925,0.7948894923505981,962.6574441517092,5224.0,69.0,0.9906955254082428
(3668) Ilfpetrov,3668,Ilfpetrov,2.0,15.268,11.578444897406992,0.7583471900318962,941.6371168413206,3381.0,30.0,0.9778236246705928
(3675) Kemstach,3675,Kemstach,2.0,14.1,12.198298434841188,0.8651275485702971,417.1261471364381,1020.0,12.0,0.979760188554779
(3723) Voznesenskij,3723,Voznesenskij,2.0,7.964,9.555859488253878,1.1998819046024458,193.91081273866453,3451.0,47.0,0.8631322727643441
(3761) Romanskaya,3761,Romanskaya,2.0,9.587,15.271500071742643,1.592938361504396,912.6096047831352,3154.0,30.0,0.8771196266792675
(3766) Junepatterson,3766,Junepatterson,2.0,11.27,15.00149189100046,1.331099546672623,63.00551018787635,1455.0,5.0,0.9018730771197384
(3788) Steyaert,3788,Steyaert,2.0,18.467,29.942267699403033,1.6213931715710743,524.2519584265959,2717.0,12.0,0.948059828907344
(3872) Akirafujii,3872,Akirafujii,2.0,10.635,17.15819240363806,1.613370230713499,651.1378998167353,8445.0,53.0,0.8880783789305025
(3893) DeLaeter,3893,DeLaeter,2.0,9.61,14.446307180575866,1.503257771131724,54.64409014573827,2454.0,25.0,0.9060312811673208
(4091) Lowe,4091,Lowe,2.0,16.59,75.22694379331787,4.534475213581548,410.6450914164136,10094.0,14.0,0.8610132557615736
(4126) Mashu,4126,Mashu,2.0,10.624,8.695892950202154,0.8185140201621003,577.365700542492,2540.0,21.0,0.9922437879782708
(4146) Rudolfinum,4146,Rudolfinum,2.0,14.5992,6.6778891486440575,0.4574147315362525,116.52189844958755,3493.0,64.0,0.9360587743966596
(4214) Veralynn,4214,Veralynn,2.0,7.6,35.26793197312425,4.6405173648847695,759.5410530891363,2699.0,7.0,0.8769872343934335
(4215) Kamo,4215,Kamo,2.0,12.6,10.024854169847274,0.7956233468132757,84.2925618406904,4584.0,34.0,0.8735072117119619
(4339) Almamater,4339,Almamater,2.0,30.84,109.5651309557361,3.552695556281974,335.11764120367,3410.0,4.0,0.8567714428166519
(4361) Nezhdanova,4361,Nezhdanova,2.0,21.279,27.33784837207962,1.2847336985798026,93.50808352740474,1606.0,7.0,0.8605683008796714
(4410) Kamuimintara,4410,Kamuimintara,2.0,4.9349,16.88848127759149,3.4222540026325747,187.47409620155904,3093.0,14.0,0.812492774224215
(4590) Dimashchegolev,4590,Dimashchegolev,2.0,25.4,55.14077387165312,2.1708966091202018,217.85159566596337,4470.0,11.0,0.8735823237792375
(4941) Yahagi,4941,Yahagi,2.0,4.69,5.199119066756815,1.1085541720163783,152.129521392115,2414.0,8.0,0.9310151093295655
(4993) Cossard,4993,Cossard,2.0,48.26,7.293632023244074,0.1511320352930807,62.6611358191839,3706.0,38.0,0.8790408857511384
(5361) Goncharov,5361,Goncharov,2.0,13.12799,12.06068427606147,0.9186999895689644,432.0689856716835,7236.0,57.0,0.8723357097836344
(5446) Heyler,5446,Heyler,2.0,6.985,6.085543662869483,0.8712303024866833,601.0768563095854,4849.0,88.0,0.9323192099083332
(5471) Tunguska,5471,Tunguska,2.0,5.17,3.496968542519821,0.676396236464182,52.129044158417194,5185.0,160.0,0.8194617806207903
(5487) 1991 UM4,5487,1991 UM4,2.0,6.65,7.083048269015456,1.065120040453452,163.7183399374347,2495.0,32.0,0.9395593014799618
(5510) 1988 RF7,5510,1988 RF7,1.0,3.2,53.01993937281297,16.56873105400405,501.2883272149172,6570.0,14.0,0.9103148882816534
(5702) Morando,5702,Morando,2.0,9.5,10.332548195517292,1.087636652159715,308.68676808099264,2702.0,24.0,0.9846625280615814
(5819) Lauretta,5819,Lauretta,2.0,5.361,6.043690098502831,1.1273437975196476,470.0641507864476,2994.0,59.0,0.9819619272606198
(5881) Akashi,5881,Akashi,2.0,4.283,3.931940769558821,0.918034267933416,865.0105842039604,3119.0,89.0,0.9891811581994426
(6014) Chribrenmark,6014,Chribrenmark,2.0,9.538,8.673775706898052,0.9093914559549228,50.09596782073096,1982.0,19.0,0.9303855118334934
(6025) Naotosato,6025,Naotosato,1.0,10.0,27.02393110247502,2.702393110247502,974.220437662434,1951.0,9.0,0.962049917451943
(6026) Xenophanes,6026,Xenophanes,2.0,3.7817,4.105568773815998,1.085641053974667,327.3973794634075,2779.0,76.0,0.9759456160411564
(6045) 1991 RG9,6045,1991 RG9,2.0,12.345,9.80644700417444,0.7943658974624901,1053.7416981628896,3432.0,41.0,0.9412390607546788
(6107) Osterbrock,6107,Osterbrock,2.0,2.372,40.300474398373005,16.990081955469226,55.35302771468362,5518.0,20.0,0.8964503195842228
(6142) Tantawi,6142,Tantawi,2.0,18.133,13.151952952104647,0.7253048559038575,235.1956006290065,2097.0,19.0,0.9377141190304272
(6212) Franzthaler,6212,Franzthaler,2.0,6.898,9.116442587425553,1.3216066377827709,361.3402852679368,1647.0,17.0,0.962024998882385
(6392) Takashimizuno,6392,Takashimizuno,2.0,21.81,19.48746785672633,0.8935106766036832,1445.106906341996,3184.0,4.0,0.8492275575302389
(6545) Leitus,6545,1986 TR6,2.0,16.26,12.178918978486507,0.749011007286993,119.01588358585346,2038.0,6.0,0.9251175670288924
(6569) Ondaatje,6569,Ondaatje,2.0,5.295,5.958502821771618,1.125307426208049,911.262285117338,1967.0,50.0,0.9914831641313204
(6808) Plantin,6808,Plantin,1.0,5.82,7.976610201798945,1.3705515810651108,437.7705985764091,3634.0,42.0,0.9638514673168214
(6891) Triconia,6891,Triconia,2.0,29.8,18.349561346225023,0.6157570921552021,87.51341838727288,1525.0,6.0,0.9245685049162464
(6902) Hideoasada,6902,Hideoasada,2.0,73.341,109.99682157950316,1.4997998606441578,437.16290071287864,3447.0,4.0,0.8490301792506764
(6938) Soniaterk,6938,Soniaterk,2.0,8.33,7.118287547750288,0.8545363202581379,169.028029775083,3271.0,52.0,0.9024550194536568
(7029) 1993 XT2,7029,1993 XT2,2.0,10.0,9.011533862497648,0.9011533862497648,648.4682372227184,2828.0,25.0,0.9554960034379808
(7202) Kigoshi,7202,Kigoshi,2.0,36.7723,8.540517517834209,0.2322541020777652,737.9370560940336,5822.0,79.0,0.8387445047507844
(7494) Xiwanggongcheng,7494,Xiwanggongcheng,2.0,21.849,15.017490381532442,0.6873307877492079,162.21095189068672,2618.0,10.0,0.8902200866739074
(7521) Wylezalek,7521,1990 QS2,2.0,5.04,4.560010389103088,0.9047639660918824,302.25352083659817,3284.0,47.0,0.9824913901785964
(7667) 1995 BL3,7667,1995 BL3,2.0,15.3,27.87697756974338,1.8220246777610052,146.19411309124615,2205.0,7.0,0.8455772582564942
(7766) Jododaira,7766,Jododaira,2.0,12.6298,23.11601830327083,1.8302758795286411,399.1687084683661,3141.0,6.0,0.9593170052800716
(7975) 1974 FD,7975,1974 FD,2.0,5.739,5.126305546800587,0.8932402067957114,624.5960248692639,3207.0,92.0,0.9466805528017088
(8819) Chrisbondi,8819,Chrisbondi,2.0,3.026,3.2361259237487943,1.0694401598641092,129.05648799243826,2757.0,116.0,0.9100707466129112
(8908) 1995 WY6,8908,1995 WY6,2.0,3.026,3.4623303796305036,1.1441937804463,231.29848648749157,2394.0,75.0,0.9653630804519818
(9297) Marchuk,9297,Marchuk,2.0,18.09,14.641529888611151,0.8093714697960835,73.34863252981772,4887.0,50.0,0.8824663154929514
(9465) Fergusonsam,9465,1998 HJ121,2.0,5.802,5.278961855685179,0.9098520950853464,97.17849878548007,1334.0,20.0,0.9928707676608404
(9555) Frejakocha,9555,Frejakocha,2.0,6.713,5.887750828491651,0.8770670085642263,266.57618773240466,3293.0,50.0,0.9289153191729712
(9572) 1988 RS6,9572,1988 RS6,2.0,23.23,7.825310819022275,0.3368622823513678,464.56016960167983,3297.0,44.0,0.8398802367630811
(9630) Castellion,9630,Castellion,2.0,2.56,11.957320548473628,4.670828339247511,239.2881989608903,3681.0,28.0,0.8472395684136103
(9667) Amastrinc,9667,Amastrinc,2.0,4.349,4.784670103283941,1.1001770759448013,133.19277891488017,3084.0,70.0,0.9657023223619616
(10348) Poelchau,10348,Poelchau,2.0,3.31,3.522977925031042,1.0643437839972936,61.39974168098645,4282.0,141.0,0.948983024786454
(10709) Ottofranz,10709,Ottofranz,,5.4,19.380090993161968,3.588905739474438,114.95991131084956,1647.0,9.0,0.8981502113149511
(10743) 1988 VS2,10743,1988 VS2,2.0,20.7598,6.842559020005213,0.3296062110427467,385.55988046500994,5203.0,89.0,0.8875818342976245
(11943) Davidhartley,11943,Davidhartley,2.0,15.674,4.656857227864588,0.2971071346091992,133.02171417471308,6243.0,146.0,0.9140027234201924
(12175) Wimhermans,12175,Wimhermans,2.0,19.67,16.367116538714917,0.8320852332849474,317.57753483642114,2121.0,3.0,0.9087407359793004
(12422) 1995 US8,12422,1995 US8,2.0,3.4,3.108868734123231,0.914373157095068,155.87001369845603,2909.0,122.0,0.961342495074732
(12562) Briangrazer,12562,Briangrazer,2.0,18.7032,3.971548337863187,0.2123459267859611,418.81955586268526,7196.0,206.0,0.9640455451225388
(12730) 1991 RU8,12730,1991 RU8,2.0,5.297,4.769859206037827,0.9004831425406508,267.37837940803985,2882.0,62.0,0.9619227070642492
(13364) 1998 UK20,13364,1998 UK20,2.0,9.114,7.659056014318425,0.8403616430018022,836.6602997721606,3857.0,62.0,0.974914905177128
(13405) Dorisbillings,13405,Dorisbillings,2.0,11.6705,3.0663200469375327,0.2627411033749653,56.33930029483123,2275.0,50.0,0.9890351242906862
(14061) Nagincox,14061,Nagincox,2.0,11.3089,2.6858274190770355,0.2374967874043484,57.249302382773344,4180.0,125.0,0.8798386039551009
(14269) 2000 AH182,14269,2000 AH182,1.0,24.0,13.141897585203951,0.5475790660501646,144.00108538307308,1914.0,15.0,0.8608993170592649
(14285) 2566 P-L,14285,2566 P-L,2.0,4.011,3.700611876763432,0.9226157758073876,173.6747294834179,1588.0,62.0,0.9810729709059604
(15560) 2000 GR24,15560,2000 GR24,2.0,28.8446,2.321305624677251,0.080476263310195,326.560196869243,3144.0,118.0,0.9807823741697076
(16206) 2000 CL39,16206,2000 CL39,2.0,7.21,6.407906549942471,0.8887526421556825,102.8215043909493,3361.0,76.0,0.916991601352492
(16326) 2052 T-2,16326,2052 T-2,2.0,2.883,3.065253311006713,1.0632165490831471,179.82363361200973,3864.0,136.0,0.9790458619774716
(16645) Aldalara,16645,Aldalara,2.0,10.9435,54.20906093654166,4.953539629601285,380.35440329979406,1625.0,3.0,0.971303916483966
(16808) 1997 TV26,16808,1997 TV26,2.0,20.43,47.97165683147618,2.348098719112882,70.6651562278505,1861.0,12.0,0.9397764052479856
(17012) 1999 CY80,17012,1999 CY80,2.0,48.2508,16.97253103602397,0.3517564690331345,129.8377808885144,4139.0,26.0,0.8138042338684863
(17535) 1993 FF40,17535,1993 FF40,2.0,3.602,3.3504366901777836,0.9301601027700676,93.47052764730022,2430.0,69.0,0.9799073609862118
(18674) 1998 FG69,18674,1998 FG69,,1.07,69.13227255541695,64.60960051908125,461.9802707099208,3466.0,5.0,0.9740907396167456
(18990) 2000 RW31,18990,2000 RW31,2.0,3.524,3.2821985786215055,0.9313843866689856,60.392373512622655,5564.0,186.0,0.919106827909372
(19275) 1995 XF1,19275,1995 XF1,2.0,19.592,33.200984780264776,1.6946194763303786,175.79499831319683,3143.0,12.0,0.9239489328354764
(19332) 1996 YQ1,19332,1996 YQ1,2.0,24.0,27.825142570877652,1.1593809404532356,117.0958809130014,1619.0,7.0,0.9067482492024216
(19912) Aurapenenta,19912,Aurapenenta,2.0,2.34,2.782408670749322,1.1890635345082574,185.41954494603584,1469.0,66.0,0.928028462359989
(20546) Michaelfruhauf,20546,1999 RA105,,0.48,4.576636933364108,9.534660277841892,53.62266438929059,2328.0,41.0,0.968773270082644
(20807) 2000 SY220,20807,2000 SY220,,0.73,10.160401498368437,13.918358216943064,320.1422861427128,1297.0,5.0,0.9854602271811206
(21912) 1999 VL24,21912,1999 VL24,2.0,15.1111,9.28242457826398,0.6142785487664021,320.233846685365,2595.0,41.0,0.9389130927916656
(22357) 1992 YJ,22357,1992 YJ,2.0,103.0,95.63020463489536,0.9284485886883044,658.0790720254162,6075.0,8.0,0.9054740551260247
(22428) 1996 DT,22428,1996 DT,,0.92,3.5707179497587633,3.881215162781264,170.788192851955,2399.0,85.0,0.9730019701462036
(22467) Koharumi,22467,Koharumi,2.0,13.418,15.610870255604866,1.163427504516684,214.5602842947423,1966.0,17.0,0.9621567090350496
(23692) Nandatianwenners,23692,1997 KA,2.0,10.43,8.852934683946955,0.8487952717111175,80.23198919325401,2688.0,36.0,0.9283973523819808
(24105) Broughton,24105,Broughton,2.0,15.944,11.96132062328613,0.7502082678930087,165.9512150685582,2624.0,19.0,0.9363593021905366
(24440) 2000 FB1,24440,2000 FB1,2.0,12.026,9.836853961998598,0.8179655714284548,351.5910647273542,1171.0,19.0,0.9935602522772892
(24691) 1990 RH3,24691,1990 RH3,2.0,6.76,60.6972502181743,8.978883168368979,701.5041125866044,2362.0,5.0,0.9726507008238714
(24971) 1998 FG77,24971,1998 FG77,2.0,39.9001,4.307631307274554,0.1079604138153677,525.5537437107015,3316.0,88.0,0.9793512789010004
(25934) 2001 DC74,25934,2001 DC74,2.0,19.1,31.834773210800385,1.666742052921486,846.9764456988498,3586.0,12.0,0.9595736532324513
(27012) 1998 FZ46,27012,1998 FZ46,2.0,19.51,32.759234281746984,1.6790996556507936,62.759262717397846,1759.0,6.0,0.8047453195256496
(31425) 1999 BF3,31425,1999 BF3,1.0,3.8,5.960039116271514,1.5684313463872406,53.29231335471712,3777.0,70.0,0.9052731369932712
(33639) 1999 JB81,33639,1999 JB81,2.0,2.956,3.151070121531677,1.0659912454437337,246.15506437121175,3429.0,74.0,0.9713763594473892
(33659) 1999 JM91,33659,1999 JM91,2.0,10.97,12.20230211198366,1.1123338297159215,333.69725622814764,2249.0,25.0,0.9715542940189748
(34138) Frasso Sabino,34138,Frasso Sabino,2.0,17.3695,11.551583535372547,0.6650498595453265,80.93310076077424,1699.0,21.0,0.8319471705888476
(34384) 2000 RW61,34384,2000 RW61,2.0,4.003,3.694304768179092,0.9228840290230056,142.4817814047368,1703.0,21.0,0.9387530851035054
(34502) 2000 SE157,34502,2000 SE157,2.0,4.71,6.758897556265265,1.4350100968716062,329.70689717668296,5269.0,86.0,0.964184179105942
(35990) 1999 NG10,35990,1999 NG10,2.0,32.1264,5.08579732006365,0.1583058581124449,231.73054289292588,4686.0,79.0,0.968113171795808
(36405) 2000 OB48,36405,2000 OB48,2.0,6.6,6.019412774965394,0.9120322386311204,57.12023066996136,1390.0,23.0,0.9787327714521196
(37295) 2001 BB46,37295,2001 BB46,,1.13,5.779482236916652,5.114586050368719,409.7185679301171,1608.0,39.0,0.9882365381075896
(38197) 1999 LC19,38197,1999 LC19,2.0,269.677,5.5051501527907245,0.0204138660426759,145.5731536323875,2480.0,50.0,0.9001454340686033
(38635) 2000 LB21,38635,2000 LB21,2.0,2.144,48.31951092931341,22.53708532150812,101.07730970055,1791.0,6.0,0.8803129298730114
(42262) 2001 PE6,42262,2001 PE6,2.0,6.269,5.543855296915117,0.8843284889001622,273.85811864114726,1898.0,42.0,0.9321487984683146
(43896) 1995 UL4,43896,1995 UL4,2.0,35.96,26.1543873288324,0.7273188912356062,76.14391442989245,2857.0,14.0,0.8234148550876131
(44919) 1999 VC31,44919,1999 VC31,2.0,32.973,19.533674608916925,0.5924142361604017,1392.698595032606,6460.0,34.0,0.9232714678137642
(45704) 2000 FZ19,45704,2000 FZ19,,0.87,11.49797027771647,13.216057790478702,137.51773121973113,3235.0,25.0,0.9788933989226822
(47338) 1999 XG36,47338,1999 XG36,2.0,7.378,6.850679580059655,0.9285279994659332,65.56727378195312,1542.0,3.0,0.9839468212159334
(48590) Asaiayumi,48590,1994 TY2,2.0,39.1428,17.965509239453805,0.4589735338160224,101.27076933446732,3651.0,25.0,0.8725152924309709
(49754) 1999 VL172,49754,1999 VL172,2.0,6.265,5.539838014392847,0.8842518777961449,72.81658851576958,1447.0,9.0,0.9659842549336466
(50684) 2000 ER111,50684,2000 ER111,,1.3,24.509095384201693,18.853150295539763,115.32759857415272,4423.0,25.0,0.876791072709157
(53008) 1998 VY5,53008,1998 VY5,2.0,47.0,18.246267584138963,0.3882184592369992,59.487027847222734,8493.0,43.0,0.9206612492819448
(54453) 2000 NL15,54453,2000 NL15,2.0,5.855,5.216984928717261,0.8910307307800617,146.40349670486034,1475.0,20.0,0.8026031943036204
(56116) 1999 CZ7,56116,1999 CZ7,2.0,3.12,2.929305069296034,0.938879829902575,139.24592900874768,1945.0,79.0,0.935321288293502
(56879) 2000 QW118,56879,2000 QW118,2.0,3.2197,8.773687477294288,2.7250015458875945,51.962772383644904,1531.0,21.0,0.9016545655056364
(59083) 1998 VZ25,59083,1998 VZ25,2.0,33.341,19.658077460679824,0.5896067142761112,118.25370676190924,2443.0,10.0,0.9070917294543688
(59098) 1998 WN7,59098,1998 WN7,,1.02,4.531895629982644,4.443034931355534,182.24961634369697,2471.0,41.0,0.9742576320878464
(62715) 2000 TR43,62715,2000 TR43,2.0,4.036,4.407264326052161,1.0919881878226363,50.71085990082647,1921.0,38.0,0.9270421950121976
(64254) 2001 TX168,64254,2001 TX168,2.0,109.951,3.900024674639132,0.0354705702962149,132.9574401419962,1817.0,64.0,0.9921841123731896
(65722) 1993 FY35,65722,1993 FY35,2.0,350.957,3.674365698344951,0.0104695609386476,141.63408681409524,3118.0,106.0,0.9677406876819726
(68422) 2001 QJ296,68422,2001 QJ296,2.0,3.82,3.5137269427341975,0.9198238069984812,136.21421950934482,2031.0,24.0,0.981989699746931
(70050) 1999 GG44,70050,1999 GG44,2.0,342.046,2.2800687019342893,0.0066659709569306,139.1273081781584,2018.0,91.0,0.9888552251515212
(74481) 1999 CL83,74481,1999 CL83,,0.92,9.407426313293248,10.2254633840144,53.57750820437688,1492.0,6.0,0.9826092417201424
(75112) 1999 VN56,75112,1999 VN56,2.0,4.651,5.152013385943751,1.1077216482355947,144.17672786742222,2567.0,54.0,0.948237535674807
(80770) 2000 CB61,80770,2000 CB61,2.0,7.987,7.049832756725763,0.8826634226525307,101.49275291734187,2893.0,57.0,0.900042431019513
(81409) 2000 GO89,81409,2000 GO89,2.0,7.74,6.642806803413612,0.8582437730508543,426.512002701236,2147.0,30.0,0.9814519308763864
