designation,period_hr,lcdb,p,red,amp,sens,verdict
(453) Tea,13.619185284210388,6.812,0.9924570625781078,0.48196972221276535,0.13802000000000003,0.012842364432826582,halves = noise (LCDB likely right)
(3518) Florena,6.457336205554059,3.2269,0.9734594575331279,0.5641774627382319,0.03781000000000012,0.05827131462434923,halves = noise (LCDB likely right)
(64) Angelina,17.50494011192679,8.752,0.9728496391788949,0.5658994948509956,0.1029199999999999,0.03750748851324554,halves = noise (LCDB likely right)
(4350) Shibecha,5.778517832836224,2.89,0.9494556986998397,0.6174005711700452,0.08305000000000007,0.0361862037165905,halves = noise (LCDB likely right)
(683) Lanzia,17.256080835713774,8.63,0.8730749048524519,0.7152145758196895,0.058559999999999945,0.025139491509810624,halves = noise (LCDB likely right)
(7247) Robertstirling,6.349458472126178,3.175,0.8446818861917557,0.7417677210981115,0.10670999999999986,0.08626240160602859,halves = noise (LCDB likely right)
(6115) Martinduncan,11.791964772811436,5.894,0.8073129255831017,0.7730446104279749,0.1378600000000001,0.05452448681355037,halves = noise (LCDB likely right)
(20515) 1999 RO34,16.51439203571662,8.14,0.8059955205574312,0.7740896337848379,0.27806999999999993,0.101976415371395,halves = noise (LCDB likely right)
(6071) Sakitama,8.845114337333936,4.437,0.8022543814450758,0.7770391142471094,0.1187999999999999,0.052273992929137925,halves = noise (LCDB likely right)
(18672) Ashleyamini,20.37269502162196,10.11,0.7382630397506712,0.8241806027267702,0.31122000000000005,0.0508363207413834,halves = noise (LCDB likely right)
(4908) Ward,21.896080635275545,10.96,0.7357586614226517,0.8259253557078999,0.6055699999999999,0.033237719741956995,halves = noise (LCDB likely right)
(7023) Heiankyo,21.635829122178745,10.807,0.7060049057763749,0.8462400499177349,0.23804999999999998,0.0332541376069982,halves = noise (LCDB likely right)
(285) Regina,19.05484823279965,9.542,0.6978330690097136,0.8517029022794288,0.09772999999999998,0.05884487302021213,halves = noise (LCDB likely right)
(20460) Robwhiteley,5.443814703330386,2.7209,0.6920659757696158,0.855532341243866,0.0803100000000001,0.09490581317786548,halves = noise (LCDB likely right)
(2040) Chalonge,20.768900015261764,10.367,0.6913070228018797,0.8560347884362222,0.11812,0.029321071212125425,halves = noise (LCDB likely right)
(45) Eugenia,11.396402631091506,5.699,0.6732794204903442,0.8678753278931517,0.1045799999999999,0.017795873101039514,halves = noise (LCDB likely right)
(1465) Autonoma,9.763375479018809,4.882,0.6483973178207356,0.8839674405136067,0.14258999999999988,0.06123947935715519,halves = noise (LCDB likely right)
(10496) 1986 RK,19.776286086370273,9.876,0.6333362758327439,0.8935987689067679,0.14083,0.0629128959089158,halves = noise (LCDB likely right)
(1344) Caubeta,6.245259210436713,3.12219,0.5959913878328507,0.9172483278846749,0.08650000000000002,0.047276503346091604,halves = noise (LCDB likely right)
(12667) 1979 DF,15.573501260358588,7.77,0.5569282879221054,0.9418317042370135,0.21465999999999996,0.05319543525986527,halves = noise (LCDB likely right)
(6306) Nishimura,19.33911709335294,9.69,0.5532632101934216,0.944138743214894,0.19123,0.08455455112369431,halves = noise (LCDB likely right)
(2603) Taylor,7.816760993756997,3.905,0.550333811964933,0.9459833454385406,0.09091000000000005,0.08481720800990963,halves = noise (LCDB likely right)
(10136) Gauguin,18.186697434883552,9.09,0.5423976989052519,0.9509843205630255,0.12272000000000005,0.08016463598222386,halves = noise (LCDB likely right)
(42939) 1999 TJ31,9.901171295935686,4.97,0.5397079455256406,0.9526807638936364,0.22957000000000005,0.08467404115714623,halves = noise (LCDB likely right)
(32772) 1986 JL,12.085070823092083,6.047,0.4962772743184449,0.980247713503506,0.08217999999999992,0.03777122231060787,halves = noise (LCDB likely right)
(293) Brasilia,16.40433546385119,8.173,0.48639104220180585,0.9859740767563648,0.06711000000000011,0.09619279299793762,halves = noise (LCDB likely right)
(5516) Jawilliamson,10.323532790273427,5.153,0.45094440383194434,1.0096212060882208,0.22475999999999996,0.09855638825832241,halves = noise (LCDB likely right)
(8022) Scottcrossfield,8.00580373294979,4.00267,0.4315544158608892,1.0224685348896863,0.09560999999999997,0.06430843056130073,halves = noise (LCDB likely right)
(3944) Halliday,11.131292872837877,5.565,0.4270967264929779,1.0254518011268272,0.08689000000000002,0.06187030509669553,halves = noise (LCDB likely right)
(1734) Zhongolovich,14.34021792428956,7.171,0.38258377304434665,1.0559806656583939,0.14126000000000005,0.03764161817480335,halves = noise (LCDB likely right)
(1463) Nordenmarkia,11.836667635527846,5.918,0.37782538349044453,1.0593356722697946,0.10560000000000003,0.049151322612202765,halves = noise (LCDB likely right)
(21446) Tedflint,11.44706010139918,5.82,0.34650913817889034,1.105318670560991,0.17412000000000005,0.23206309783725973,halves = noise (LCDB likely right)
(17584) 1994 XF1,9.275568037349254,4.6392,0.31277007484930347,1.1075711883109614,0.19045,0.0662795089857699,halves = noise (LCDB likely right)
(3122) Florence,4.715813893788514,2.3581,0.2884092488407666,1.1270682422856668,0.12746999999999986,0.08563199204081157,halves = noise (LCDB likely right)
(4022) Nonna,5.174210950505207,2.5877,0.2818449443971467,1.1324904179334605,0.09536999999999995,0.07513011249914262,halves = noise (LCDB likely right)
(279) Thule,47.665735345590136,23.896,0.25181131853479016,1.158368470939987,0.04834999999999989,0.06184243871815562,halves = noise (LCDB likely right)
(2693) Yan'an,7.684664741669957,3.842,0.2418210157901242,1.1674181772907923,0.1080199999999999,0.040502852127625215,halves = noise (LCDB likely right)
(4608) Wodehouse,27.93495632324035,13.944,0.24079856575814196,1.1683582789936624,0.08151000000000008,0.04344853257155596,halves = noise (LCDB likely right)
(4446) Carolyn,82.33008408520566,40.92,0.23119936188609408,1.1773181089408065,0.2664000000000001,0.09474266463743833,halves = noise (LCDB likely right)
(67758) 2000 UF55,9.303505122521528,4.65924,0.2107572435911896,1.2232168625088604,0.35023000000000004,0.12703379400280054,halves = noise (LCDB likely right)
(53) Kalypso,18.069072635644268,9.036,0.20087371315728927,1.207426048393138,0.04853999999999992,0.07613584959024516,halves = noise (LCDB likely right)
(49672) 1999 RM103,9.298055785520482,4.648,0.19680376494691465,1.2117059246434996,0.13601999999999992,0.07908352357051238,halves = noise (LCDB likely right)
(1928) Summa,13.709368191076305,6.8549,0.19443956206354665,1.2142213195682146,0.17092999999999992,0.07652276425905737,halves = noise (LCDB likely right)
(886) Washingtonia,18.003739108357387,9.001,0.1713648920436427,1.2400255053900677,0.03727999999999998,0.048813347684269974,halves = noise (LCDB likely right)
(17964) 1999 JY41,5.697082590729187,2.84811,0.16825818375100268,1.243692535055043,0.08910999999999991,0.0463800466969575,halves = noise (LCDB likely right)
(6139) Naomi,41.94054068763945,21.35,0.16214629217880672,1.251057534005305,0.17549999999999988,0.029682376149467497,halves = noise (LCDB likely right)
(21599) 1998 WA15,25.297079426628713,12.651,0.1499839802552261,1.2663624837141982,0.36754999999999993,0.0677692327783782,halves = noise (LCDB likely right)
(4628) Laplace,18.01352728891039,9.016,0.1441566908629773,1.2740343127991933,0.09691000000000005,0.028995016650202585,halves = noise (LCDB likely right)
(3313) Mendel,26.64670739420947,13.3354,0.10803372449959643,1.32794431219008,0.17139000000000004,0.06718297103032099,halves = noise (LCDB likely right)
(29854) 1999 FK27,38.919809229111294,19.4156,0.07700492218107614,1.3875596930091858,0.11787000000000003,0.09377007530590555,halves = noise (LCDB likely right)
(3709) Polypoites,20.078024843032075,10.039,0.07639339855910707,1.3889227863705862,0.11348000000000003,0.03682826422892363,halves = noise (LCDB likely right)
(3793) Leonteus,11.239605757373134,5.621,0.07231909355069849,1.3982465372608865,0.05822000000000005,0.08654560115525511,halves = noise (LCDB likely right)
(1583) Antilochus,31.49762757580738,15.759,0.06773809097631771,1.4092756521050092,0.06646000000000007,0.03084734774520765,halves = noise (LCDB likely right)
(1736) Floirac,13.560561743582396,6.775,0.06590493377704973,1.413867179484686,0.14789999999999992,0.028341299293672004,halves = noise (LCDB likely right)
